sample_index,timestamp_rel_s,timestamp_utc_iso,participant_id,session_id,task_id,trial_id,condition,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_dir_x,combined_dir_y,combined_dir_z,vergence_angle_deg,interocular_distance,left_valid,left_origin_x,left_origin_y,left_origin_z,left_dir_x,left_dir_y,left_dir_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_dir_x,right_dir_y,right_dir_z,left_pupil_diameter,right_pupil_diameter,left_pupil_pos_x,left_pupil_pos_y,right_pupil_pos_x,right_pupil_pos_y,left_eye_openness,right_eye_openness,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,hit_valid,hit_object_name,hit_aoi,hit_aoi_type,hit_x,hit_y,hit_z
1,5.40684150000004,"2026-04-29T16:03:11.4629973Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,1.36144,-0.7,0,0,0,1,0,,,,,,
2,6.06821969999999,"2026-04-29T16:03:12.1139810Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
3,6.08816450000006,"2026-04-29T16:03:12.1339423Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.3136787,1.670011,-0.8618883,-0.02397162,-0.1132175,0.01190311,0.9932097,0,,,,,,
4,6.09305990000007,"2026-04-29T16:03:12.1396533Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.3095139,1.67109,-0.8613172,-0.0270666,-0.1023125,0.007742095,0.9943539,0,,,,,,
5,6.11218489999999,"2026-04-29T16:03:12.1589337Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.305425,1.671884,-0.8608619,-0.02950762,-0.09072949,0.00258928,0.995435,0,,,,,,
6,6.15439990000004,"2026-04-29T16:03:12.2008926Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.3039604,1.671833,-0.8608032,-0.0298637,-0.08664712,0.000670258,0.9957911,0,,,,,,
7,6.16444660000002,"2026-04-29T16:03:12.2110829Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.2956351,1.673121,-0.8599193,-0.03343751,-0.06690727,-0.007971025,0.9971669,0,,,,,,
8,6.17727009999999,"2026-04-29T16:03:12.2237926Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.2939467,1.673358,-0.8598093,-0.03415366,-0.06176581,-0.01023565,0.9974536,0,,,,,,
9,6.18769400000008,"2026-04-29T16:03:12.2340515Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.2924802,1.673545,-0.8597232,-0.03473367,-0.05868858,-0.0116062,0.9976044,0,,,,,,
10,6.19822810000005,"2026-04-29T16:03:12.2443610Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.2902007,1.673874,-0.8595924,-0.03534932,-0.05394495,-0.01395912,0.9978204,0,,,,,,
