sample_index,timestamp_rel_s,timestamp_utc_iso,participant_id,session_id,task_id,trial_id,condition,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_dir_x,combined_dir_y,combined_dir_z,vergence_angle_deg,interocular_distance,left_valid,left_origin_x,left_origin_y,left_origin_z,left_dir_x,left_dir_y,left_dir_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_dir_x,right_dir_y,right_dir_z,left_pupil_diameter,right_pupil_diameter,left_pupil_pos_x,left_pupil_pos_y,right_pupil_pos_x,right_pupil_pos_y,left_eye_openness,right_eye_openness,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,hit_valid,hit_object_name,hit_aoi,hit_aoi_type,hit_x,hit_y,hit_z
1,18.5147141,"2026-04-29T15:52:11.1909137Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,1.36144,-0.7,0,0,0,1,0,,,,,,
2,19.8868767,"2026-04-29T15:52:12.5600711Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
3,20.5351827,"2026-04-29T15:52:13.2075367Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,-0.08470612,0.5667252,0.0508358,0.8179628,0,,,,,,
4,21.1930145,"2026-04-29T15:52:13.8670070Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,-0.08470612,0.5667252,0.0508358,0.8179628,0,,,,,,
5,21.8025825,"2026-04-29T15:52:14.4756950Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,-0.08470612,0.5667252,0.0508358,0.8179628,0,,,,,,
6,22.4146983,"2026-04-29T15:52:15.0884564Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,-0.08470612,0.5667252,0.0508358,0.8179628,0,,,,,,
7,23.022104,"2026-04-29T15:52:15.6943733Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,-0.08470612,0.5667252,0.0508358,0.8179628,0,,,,,,
8,23.62767,"2026-04-29T15:52:16.3008776Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,-0.08470612,0.5667252,0.0508358,0.8179628,0,,,,,,
9,24.2342994,"2026-04-29T15:52:16.9091423Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,-0.08470612,0.5667252,0.0508358,0.8179628,0,,,,,,
10,24.8430688,"2026-04-29T15:52:17.5148123Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,-0.08470612,0.5667252,0.0508358,0.8179628,0,,,,,,
11,25.4485705,"2026-04-29T15:52:18.0901163Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,0.6600586,,0,0,-0.7,-0.08470612,0.5667252,0.0508358,0.8179628,0,,,,,,
12,26.0241415,"2026-04-29T15:52:18.0957093Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,0.6600586,,0,0,-0.7,-0.08470612,0.5667252,0.0508358,0.8179628,0,,,,,,
13,26.0585827,"2026-04-29T15:52:18.1303436Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,-0.08470612,0.5667252,0.0508358,0.8179628,0,,,,,,
14,26.1094313,"2026-04-29T15:52:18.1814290Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,1.607126,0.6411621,,,0.6600586,,0,0,-0.7,-0.08470612,0.5667252,0.0508358,0.8179628,0,,,,,,
