video_name,video_path,session_folder,frame,time_s,person_id,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,10,0.33331373513735135,0,318.31,471.11804,0.21092425,314.75354,456.5163,0.1275678,325.4026,453.29736,0.06980229,295.0578,465.26245,0.87755024,369.26285,457.0605,0.7983332,272.71014,554.59894,0.97706145,429.2381,529.9165,0.98210263,253.07181,670.9609,0.71702766,475.97363,618.86163,0.7825672,289.40015,644.11383,0.39581442,411.0988,592.91644,0.47195876,314.3921,717.8385,0.5005829,425.43948,707.6645,0.5721603,289.08496,672.5318,0.066297024,420.873,659.0616,0.088056244,272.5774,692.15204,0.017665502,430.4348,682.97736,0.022057338
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,11,0.3666451086510865,0,314.8231,470.94232,0.20281433,311.57217,456.27667,0.12962282,322.77682,453.1017,0.061709736,295.59167,464.76306,0.88381004,370.4542,456.0235,0.7724305,275.46307,553.65686,0.97685087,430.06735,528.3944,0.9807123,253.47096,668.5017,0.7278103,476.7589,617.6004,0.773256,283.5515,632.44385,0.4115836,413.93646,587.4813,0.46638498,316.33276,717.64417,0.49778423,425.70563,706.94946,0.5609545,288.88144,671.88684,0.066108204,419.11703,657.5593,0.0852128,274.11404,692.771,0.01726349,431.53375,682.49384,0.021220032
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,12,0.3999764821648216,0,315.143,470.9903,0.19589128,312.09048,456.1626,0.13042744,323.31613,452.86047,0.056499768,298.28812,464.3899,0.89022857,373.2066,455.00665,0.7629796,279.3095,553.38605,0.97753805,434.1215,527.2663,0.9799984,255.82938,665.5387,0.7358558,479.39545,617.3664,0.76152843,278.443,623.3193,0.41856688,417.16272,590.1272,0.45383343,320.00732,718.06445,0.49754167,429.23605,706.6229,0.5519189,289.9925,671.38983,0.06644074,420.40887,655.328,0.0828842,276.8271,692.16943,0.017308706,432.90897,680.36316,0.020843318
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,13,0.4333078556785568,0,315.1751,471.90585,0.20491464,312.67755,457.3523,0.13706139,324.15338,454.32828,0.055659276,301.77277,465.6782,0.89628065,376.33997,456.4563,0.74776065,283.0667,553.491,0.98013604,435.73712,527.32715,0.9822989,259.02084,667.36145,0.77176523,481.32434,614.8995,0.7937881,281.74768,635.86774,0.46938667,421.53436,587.2868,0.50184596,321.24408,717.6768,0.5564886,429.1804,706.28577,0.6080348,292.89365,674.1497,0.07672412,423.90063,659.2724,0.09532413,277.97806,692.888,0.018635418,437.22986,681.0268,0.022529468
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,14,0.4666392291922919,0,318.11237,471.04282,0.1960021,315.548,456.5955,0.12872963,326.5822,453.39722,0.053315897,303.12433,465.7258,0.895376,377.12842,456.30258,0.75651425,284.33783,554.291,0.9814068,436.312,527.0623,0.98298603,259.6878,668.5784,0.7834749,482.2474,612.0521,0.80044466,282.68774,637.898,0.47915223,424.87036,582.5639,0.5078867,323.86514,717.6312,0.5746625,431.2241,706.1321,0.6218938,295.153,675.4715,0.078078166,425.6702,660.68915,0.09548467,279.15884,693.1607,0.01827897,437.954,681.79083,0.021820525
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,15,0.49997060270602706,0,321.88968,470.86243,0.19207992,319.21027,456.47665,0.1267428,329.7454,453.03076,0.05381943,305.11108,465.9993,0.89640975,378.7389,456.3167,0.77257824,286.25928,554.592,0.98186445,438.713,526.9896,0.9828765,262.62344,669.35974,0.7789622,481.5093,614.1998,0.78981847,286.90952,640.67993,0.4602905,420.4616,589.86646,0.48530447,327.84677,717.33563,0.56672245,435.4839,705.66895,0.6107284,298.6869,675.62335,0.07438376,426.2741,660.24493,0.08953639,282.5789,692.4131,0.017659687,434.61536,680.8355,0.020753978
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,16,0.5333019762197622,0,316.62573,473.97522,0.22020428,314.62814,459.44278,0.1633308,326.44693,456.60663,0.055927735,307.90906,466.8086,0.9052213,381.76425,457.20554,0.7099094,290.37213,552.63684,0.9797363,441.61926,526.0884,0.97861594,263.68286,669.0072,0.77183723,484.15524,615.16473,0.7541729,291.17648,636.95483,0.46112728,425.79947,584.11755,0.4538952,331.8231,717.5373,0.54251957,438.1227,706.21716,0.57126874,302.13004,673.86487,0.076409936,426.75537,659.78076,0.08694635,288.47577,690.82794,0.019451518,436.73953,679.14,0.02214041
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,17,0.5666333497334973,0,322.84927,473.23462,0.19579229,320.3368,458.77322,0.14115565,331.46588,455.5855,0.05113916,309.05518,466.4682,0.9018211,382.7501,456.94714,0.73262054,291.75403,551.495,0.9811694,441.05573,525.72504,0.97915673,265.19287,664.59875,0.7848405,483.66092,613.39557,0.7539795,291.4505,629.49286,0.46390313,424.21304,582.60895,0.44437373,334.83307,716.8965,0.5611106,439.72794,706.2044,0.5816212,304.85672,672.6563,0.077387005,426.36597,658.98956,0.08499236,290.91516,690.483,0.019173097,437.09073,679.8227,0.021167595
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,18,0.5999647232472325,0,330.86688,472.02002,0.18847446,327.91888,457.9417,0.12461542,338.49576,454.50592,0.052814,312.06113,466.96094,0.89467126,385.13254,457.65466,0.7663738,292.7897,551.7581,0.9826766,440.1833,525.69446,0.9820687,266.46268,667.2001,0.79671824,485.26328,608.66724,0.7871465,297.31998,630.6012,0.47699675,438.54034,565.39606,0.47726533,337.08127,714.36414,0.586073,440.2829,704.63904,0.6110395,309.3433,671.25916,0.077909596,429.10324,659.4092,0.08670267,294.34448,688.62854,0.018181732,438.5213,679.64294,0.020150926
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,19,0.6332960967609677,0,354.94708,468.73608,0.21052344,349.60892,455.02026,0.09252711,356.5817,450.81207,0.08568032,315.93304,465.26306,0.8027402,381.5781,456.95056,0.87806004,292.44415,551.88184,0.9847867,439.0359,525.5209,0.9844157,274.506,667.93304,0.7954478,484.0281,610.08014,0.8054595,312.5835,638.59686,0.45893267,433.02136,579.71606,0.49609938,340.34348,714.27167,0.600959,443.38385,705.2277,0.6274328,312.95142,677.57446,0.073698774,435.4734,666.01587,0.08145753,292.94366,688.4459,0.015997756,430.94595,684.8003,0.016791511
