video_name,video_path,session_folder,frame,time_s,person_id,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,0,0.0,0,640.9023,468.65033,0.048392627,635.58405,452.80887,0.04678387,646.5017,449.71216,0.0058893096,633.48987,432.98212,0.91756475,706.119,429.5337,0.371345,646.071,472.79703,0.99405104,770.5279,471.78073,0.97317374,632.9021,585.6729,0.9677182,795.32074,597.19934,0.77210116,606.9267,658.6123,0.79869956,739.82135,664.8284,0.44832754,688.7812,714.402,0.98441327,773.8874,712.50885,0.9703335,677.61993,887.53845,0.59114885,790.7401,886.79346,0.45662796,686.18097,900.0,0.078726724,795.69855,900.0,0.057960343
Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,1,0.04001118819188192,0,637.30005,469.8768,0.053331327,631.9753,454.1883,0.046111193,642.8437,450.95438,0.007229337,629.2967,434.33417,0.90189654,700.7104,430.17984,0.39489624,638.8599,475.2611,0.9927736,766.1858,470.74774,0.9761728,627.1717,587.4615,0.96106976,796.5178,591.95,0.8143929,607.42334,661.173,0.78678423,752.3596,664.9387,0.51023686,683.48315,715.4207,0.98325354,769.849,712.4122,0.97307587,675.3248,887.29175,0.5838852,789.7106,884.33704,0.49154866,687.193,900.0,0.080112025,795.3327,900.0,0.06563618
Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,2,0.08002237638376385,0,633.50525,467.26102,0.044813413,628.3124,451.94568,0.035931703,639.4821,448.65222,0.006510111,625.35596,433.95428,0.8794471,696.6749,428.99637,0.39127642,636.0641,476.03235,0.99130225,760.1964,468.8004,0.9764341,624.4212,586.27814,0.9565404,795.77045,585.55304,0.8395847,606.8449,663.39,0.7786202,760.7916,666.20734,0.5505034,683.2229,713.0036,0.983108,766.5515,709.1922,0.97566915,678.6885,886.8064,0.5763781,786.75684,882.6317,0.5118491,689.72,900.0,0.077577285,792.5823,900.0,0.06810279
Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,3,0.12003356457564576,0,629.7642,461.94812,0.045844723,625.2578,446.95438,0.035458237,636.22906,443.58865,0.0069501307,622.1614,432.3478,0.8728616,692.83484,426.36414,0.40034038,630.97437,478.13217,0.9909061,755.2743,467.53775,0.9778863,618.7905,588.68396,0.95501673,794.71533,580.88464,0.85708773,606.8634,665.93695,0.7795333,764.8439,665.27454,0.5828581,681.65576,711.9654,0.98359126,764.51276,707.1549,0.9778194,679.49994,884.60126,0.586497,783.9016,878.7339,0.53801656,690.764,900.0,0.081514165,789.6538,900.0,0.07454897
Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,4,0.1600447527675277,0,626.56903,463.31082,0.048201483,621.4785,448.48862,0.038713954,633.4779,445.05527,0.0070452574,619.12366,432.51135,0.8734333,690.963,426.45004,0.37177935,628.65375,476.93134,0.9903502,753.52606,466.469,0.9750582,615.4572,588.2096,0.95451856,794.88513,580.20264,0.84461176,604.59106,667.2593,0.7802909,765.45435,664.69934,0.56877786,681.1989,711.37134,0.9826988,763.77454,706.6951,0.97582835,680.11646,885.0973,0.5835619,781.24457,879.6229,0.52676314,692.3843,900.0,0.08175982,786.4657,900.0,0.07335363
Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,5,0.2000559409594096,0,624.86896,461.58206,0.05150694,619.95154,446.77832,0.0436915,632.135,443.6608,0.0075528617,617.8732,431.3918,0.88212544,690.0957,425.9234,0.36102176,625.11426,476.58215,0.9895956,752.80396,467.74762,0.972968,610.22266,588.3788,0.94981086,793.8408,582.312,0.82797384,604.7638,669.0702,0.761118,762.3961,666.55994,0.5383125,679.11224,712.17346,0.9808101,763.34283,708.34595,0.97299844,679.226,885.6284,0.5706583,779.324,881.4743,0.5111407,693.33514,900.0,0.08228043,784.01416,900.0,0.07352971
Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,6,0.24006712915129153,0,624.9074,460.25723,0.05052229,620.0306,445.50397,0.04156845,632.1968,442.47986,0.007876785,616.9775,430.74478,0.87268865,688.9474,425.4282,0.37148675,622.66614,477.29318,0.9884254,750.55884,468.08655,0.97272146,605.71075,591.5865,0.94306827,792.01996,584.6802,0.8280492,601.3262,673.14545,0.73633075,758.92773,674.1806,0.5287681,676.9879,711.143,0.97934395,760.81635,707.2351,0.97235674,679.4609,886.9155,0.55857754,775.2615,882.4356,0.51035357,695.3456,900.0,0.08154295,779.51355,900.0,0.07479502
Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,7,0.28007831734317346,0,624.07886,459.78122,0.048778687,619.212,445.0974,0.038310748,631.661,442.05927,0.0078006177,616.6328,430.62347,0.86251855,688.79626,425.21188,0.3695744,621.1225,477.43417,0.9872044,749.95575,468.12973,0.97462195,603.7288,591.99414,0.9401629,791.97363,586.698,0.8521378,601.7788,672.99274,0.73983574,766.7943,680.9733,0.57093155,675.38446,710.7798,0.979253,759.1639,706.9138,0.9745436,679.11584,886.3215,0.5569342,772.7909,881.3995,0.53009164,696.9052,900.0,0.08084332,775.3554,900.0,0.078364015
Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,8,0.3200895055350554,0,628.3991,458.32028,0.0399311,623.2962,443.42545,0.028175069,635.52704,440.46606,0.006833941,617.84296,429.78583,0.8399232,690.092,424.69073,0.39689818,620.84735,477.18286,0.9872279,749.6271,468.58994,0.97759455,605.53625,590.97205,0.9415682,790.67474,588.4668,0.87581235,599.8062,672.8989,0.7477546,773.1948,686.42194,0.6102191,672.4319,707.59247,0.98128915,755.8096,704.0462,0.9783902,677.2803,883.65985,0.5727194,770.0464,878.7645,0.5608504,696.3104,900.0,0.08249295,769.70447,900.0,0.08252455
Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 5 4_29_2026 12_06_04 PM 4.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,9,0.3601006937269373,0,629.80426,455.94626,0.038070053,624.78314,441.0167,0.026598265,636.9892,438.15848,0.0065430454,618.1478,428.42303,0.83996123,691.00397,423.48257,0.40525687,620.96674,476.6151,0.98771995,749.4758,468.70325,0.9777671,605.6106,589.9722,0.9435302,790.7412,588.4059,0.8753347,600.55426,672.9328,0.7505647,772.2153,685.8829,0.60743475,672.3022,707.77277,0.98132527,755.8427,704.54663,0.9780974,675.98944,884.22595,0.55973333,769.8943,880.0507,0.54361206,693.12854,900.0,0.07627677,770.2571,900.0,0.075337544
