video_name,video_path,session_folder,frame,time_s,person_id,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,0,0.0,0,583.22107,293.8864,0.4018819,578.5368,279.21356,0.40013784,584.5853,278.3792,0.03635765,595.0037,256.9939,0.96190745,626.73236,260.84937,0.18676779,667.1968,308.86212,0.9991297,646.9802,306.57825,0.9903866,685.5225,433.78348,0.99668354,629.3872,411.32446,0.9055269,586.3226,468.85422,0.98436236,555.6389,441.98947,0.82067376,670.9772,529.7476,0.999514,658.0978,523.2589,0.9983456,663.4965,669.23413,0.9943234,645.5121,660.8325,0.98291737,676.63385,789.3293,0.89934546,665.1933,779.6911,0.82336456
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,1,0.040013405511811026,0,582.973,294.02325,0.38203073,578.2641,279.29907,0.369783,584.2766,278.4807,0.035261907,594.0708,257.37796,0.9550189,625.8963,260.9793,0.18976474,665.2492,309.26596,0.99894017,646.97864,305.9602,0.98903006,683.92413,435.49832,0.9960639,629.11237,410.76123,0.8990382,584.0459,470.96344,0.98190457,555.02637,440.69095,0.8113643,670.73584,530.6129,0.99933857,659.5812,523.81775,0.9978441,661.7272,673.8236,0.99154633,649.7494,664.8606,0.9756566,674.86505,791.9678,0.85385257,670.2969,782.0024,0.7568558
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,2,0.08002681102362205,0,579.5089,297.94067,0.55216503,575.2159,282.8402,0.52316886,581.3009,284.44763,0.067315534,596.38574,260.85086,0.88214064,619.5455,266.16083,0.10164336,659.6128,315.87943,0.9940534,644.26184,312.66248,0.96813613,679.9218,436.0259,0.98961604,636.3836,414.63373,0.8610845,576.77856,474.6396,0.9761697,560.171,443.84042,0.8375692,668.4019,539.98364,0.99594337,659.6123,533.75946,0.98954135,656.4054,678.4716,0.95715797,647.4366,669.89197,0.90050215,666.8899,795.1563,0.5718998,666.669,784.90625,0.44983706
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,3,0.12004021653543308,0,577.925,298.6365,0.5249633,573.1667,283.74548,0.50227684,580.6114,284.79742,0.058981914,594.11725,261.62097,0.88921624,621.37823,265.63626,0.10210226,657.0221,316.84326,0.99433434,647.1446,311.9455,0.9685901,676.96936,438.05887,0.9897462,641.0014,415.69476,0.85772246,573.83765,472.47067,0.97549474,566.4885,445.42926,0.8294648,668.78644,541.95215,0.9958882,663.34216,535.108,0.98925483,657.18427,680.1251,0.95495886,649.8524,669.96246,0.8945176,669.63025,796.3339,0.5553609,669.61444,783.8373,0.43155316
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,4,0.1600536220472441,0,578.9121,298.74017,0.31428474,572.7328,284.36526,0.30587915,581.8342,282.46356,0.024699068,588.7776,259.3809,0.9529552,627.43414,260.89093,0.16656414,662.04156,310.409,0.9989466,647.54425,303.7337,0.9895494,680.51965,440.97107,0.99619615,636.30817,411.70978,0.906391,579.6459,469.8472,0.9820753,565.45215,440.97693,0.81499124,669.77466,535.8454,0.9994312,660.1107,527.5302,0.9981939,662.20154,668.64844,0.9932439,645.22394,656.73926,0.9810372,679.6772,781.3086,0.884742,672.4671,767.41754,0.8076948
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,5,0.20006702755905512,0,581.44867,299.53577,0.30271855,575.1076,284.98743,0.27925622,583.9007,283.27664,0.02492011,589.86395,259.8825,0.9443503,627.5747,261.78772,0.17673314,662.7182,310.95697,0.99886274,646.6163,304.26303,0.9893183,680.18054,442.33484,0.99594915,635.9254,413.04443,0.9078414,579.25726,468.76086,0.9812708,566.2247,441.2743,0.81750304,669.1175,534.86945,0.99939346,658.35614,526.67926,0.9981273,661.1279,667.8342,0.9928243,643.8484,656.4783,0.9803386,678.87604,780.8992,0.87807614,671.9517,768.8728,0.7989705
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,6,0.24008043307086616,0,583.64496,298.2758,0.3141687,577.7435,283.65103,0.29345942,585.6248,282.0659,0.0252821,591.8942,259.47214,0.9484687,628.0391,261.4807,0.17943646,662.33844,310.61566,0.9991254,648.5419,303.82837,0.9899867,679.19385,441.2067,0.9968586,638.0192,411.83786,0.9083278,580.49506,468.47754,0.98477155,569.36127,439.48743,0.8225627,668.3362,531.5083,0.9995864,659.42236,523.5452,0.99857724,661.0695,660.9004,0.995707,647.14435,650.198,0.98697054,676.864,777.9082,0.9247525,671.80566,766.84436,0.86383975
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,7,0.28009383858267717,0,585.2229,297.04416,0.3408129,579.47845,282.58606,0.32354882,587.2197,280.82202,0.026587185,594.0438,258.29443,0.95351267,629.4903,259.96014,0.17469782,662.59924,309.2634,0.99933064,650.3272,302.20822,0.9912083,679.2691,439.20474,0.997598,638.8865,410.14105,0.915213,581.1664,468.6518,0.9880839,571.2842,439.76294,0.8381725,667.74365,529.86237,0.9997465,659.9613,521.81683,0.9990552,661.035,657.95306,0.99772626,648.4753,646.9074,0.9925471,675.9658,777.48474,0.95948046,670.41895,765.2916,0.92115676
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,8,0.3201072440944882,0,585.2047,291.8209,0.44676846,581.02374,277.23056,0.44846833,586.24194,276.30817,0.040382877,597.7261,255.6464,0.9619748,626.4958,258.76636,0.17490518,665.3955,308.9671,0.9993563,648.41956,304.78888,0.99016494,681.3891,436.60104,0.99763787,637.8975,413.1443,0.89992774,583.374,467.127,0.9885268,573.37085,443.65112,0.82354355,669.8976,529.2999,0.99970263,658.9988,522.45123,0.9987974,664.10425,661.5418,0.99727684,649.96716,652.1609,0.9903769,675.4729,779.95496,0.9525356,667.6178,769.5776,0.90402824
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,9,0.3601206496062992,0,585.215,292.14984,0.46128377,580.7736,277.5074,0.46255323,586.10144,276.59537,0.042023912,597.7174,254.92468,0.9613074,625.92255,258.20563,0.16954458,666.14557,307.78482,0.99937135,647.798,303.8937,0.9899682,681.9068,435.47012,0.99773955,638.2118,412.35532,0.8991262,584.96356,465.99298,0.9890787,575.44147,442.0372,0.82535046,670.9883,529.087,0.99972194,658.8346,522.47766,0.9988477,666.1391,661.26556,0.99752885,649.4865,652.43823,0.9910629,677.1997,779.35504,0.9569724,666.207,769.6611,0.911323
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,10,0.40013405511811023,0,586.52094,291.53467,0.4561616,582.1351,276.89972,0.4607167,587.3932,275.92987,0.041257598,598.6391,254.79852,0.961234,627.0834,257.89236,0.1719147,666.52246,307.672,0.99938023,648.6377,303.95166,0.98896307,682.106,435.53543,0.99776983,640.0575,414.25494,0.8868505,584.5227,464.4745,0.9888868,577.6433,444.33392,0.80808777,670.987,528.9011,0.99969757,659.10455,522.442,0.9986731,667.2228,663.59766,0.99718887,650.86707,654.8514,0.98928446,677.7582,782.4321,0.9502898,666.98737,772.6855,0.8945411
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,11,0.44014746062992127,0,585.49677,291.49066,0.43677455,581.0947,276.87982,0.44178918,586.5887,275.81818,0.038204547,597.69366,255.04657,0.96209586,627.4737,257.9295,0.17290497,666.1559,307.47986,0.9993793,649.85095,303.87766,0.9897832,681.9672,434.5723,0.99772495,639.01917,412.47382,0.8952743,584.1306,462.66522,0.9886996,574.6382,437.10043,0.81813765,671.9557,528.1649,0.9997131,661.4048,521.71484,0.99879515,668.1417,661.77673,0.99736917,653.6648,653.0509,0.99040854,675.3354,781.87634,0.9534377,666.44025,771.16907,0.9039122
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,12,0.4801608661417323,0,585.23376,291.80682,0.42817178,580.6612,277.1613,0.43295562,586.16956,276.2351,0.036970694,597.3513,254.63153,0.96043175,627.11145,257.93542,0.16711335,666.5287,305.551,0.99935335,650.2487,303.18338,0.9891455,683.4388,432.41595,0.99769384,639.8527,412.7815,0.89188695,586.0861,461.95425,0.9885289,573.78766,437.34482,0.81384706,671.78394,528.21686,0.99970526,661.27606,522.19507,0.9987496,668.8047,662.4855,0.99726176,654.6211,654.5187,0.9899491,673.78204,782.40405,0.95161015,664.7171,772.20984,0.8997973
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,13,0.5201742716535434,0,585.1024,292.0593,0.43128043,580.52203,277.36963,0.43225956,585.8263,276.68515,0.038314823,597.54254,254.61072,0.9584355,626.3032,258.604,0.16477206,667.9017,304.73962,0.99929357,648.9114,304.34113,0.9890267,686.22736,429.84592,0.99754167,638.41315,414.5193,0.89509743,588.75616,459.89014,0.98817897,573.5353,440.1221,0.8189716,672.4656,528.34247,0.9996891,659.9963,523.0034,0.99872977,669.5937,664.0669,0.9970637,652.8063,656.9387,0.9895976,674.15674,783.4784,0.9484316,661.9628,773.91455,0.89584255
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,14,0.5601876771653543,0,586.7337,292.38675,0.5701812,582.573,276.92657,0.5833121,587.22046,276.51886,0.06357087,602.3512,253.52338,0.96358305,628.21643,258.4104,0.15659043,669.16235,305.8903,0.99901545,656.09674,305.90182,0.9873139,685.9325,428.98965,0.99634653,640.3573,415.3349,0.8833385,587.5464,458.3559,0.98490345,572.5458,438.12674,0.8122187,668.48486,529.9618,0.9993618,660.8956,524.3415,0.9976829,663.9499,662.1178,0.9919863,660.72125,655.94037,0.9747975,663.1998,788.6987,0.87446296,661.72473,781.87976,0.7778106
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,15,0.6002010826771653,0,586.8128,291.56458,0.5622986,581.8729,277.0309,0.5124677,586.44495,277.07074,0.06904936,599.9373,252.3471,0.9190984,621.5155,257.0241,0.15051305,667.5097,299.99597,0.9988475,646.99365,301.02243,0.98188466,691.68536,428.70496,0.99702615,639.17017,415.88477,0.8742614,590.29425,461.57336,0.98901457,573.89856,439.4207,0.832465,676.1075,519.6773,0.99945897,662.76733,514.98303,0.9977575,672.20746,663.3002,0.9970842,660.4338,655.16675,0.9895264,677.29956,785.8961,0.953581,664.7907,772.3126,0.9041816
Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 6 4_29_2026 12_06_04 PM 3.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,16,0.6402144881889764,0,585.6528,291.5135,0.6003135,580.92993,277.0993,0.57219255,585.0367,277.55246,0.078585975,600.19226,252.26514,0.9270803,619.4489,258.23096,0.14021328,669.6628,298.27005,0.99876225,642.94775,303.52472,0.97818154,693.6497,422.2159,0.99690384,637.01105,418.08258,0.8485511,593.8185,462.26544,0.98854095,574.55316,445.51532,0.80723715,677.02295,516.9313,0.9993038,659.08215,513.94525,0.99691474,673.36456,663.3665,0.99600345,654.746,658.3084,0.9846867,678.38257,785.8512,0.9373658,660.83417,774.6,0.8677114
