sample_index,timestamp_rel_s,timestamp_utc_iso,participant_id,session_id,task_id,trial_id,condition,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_dir_x,combined_dir_y,combined_dir_z,vergence_angle_deg,interocular_distance,left_valid,left_origin_x,left_origin_y,left_origin_z,left_dir_x,left_dir_y,left_dir_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_dir_x,right_dir_y,right_dir_z,left_pupil_diameter,right_pupil_diameter,left_pupil_pos_x,left_pupil_pos_y,right_pupil_pos_x,right_pupil_pos_y,left_eye_openness,right_eye_openness,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,hit_valid,hit_object_name,hit_aoi,hit_aoi_type,hit_x,hit_y,hit_z
1,8.1646258,"2026-04-22T16:35:35.6610473Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
2,8.7390004,"2026-04-22T16:35:36.2323336Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
3,8.7621405,"2026-04-22T16:35:36.2554799Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
4,8.7683359,"2026-04-22T16:35:36.2616402Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
5,8.7704544,"2026-04-22T16:35:36.2637148Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
6,8.7755742,"2026-04-22T16:35:36.2688514Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
7,8.7771686,"2026-04-22T16:35:36.2709004Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
8,8.7787614,"2026-04-22T16:35:36.2724382Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
9,8.7801007,"2026-04-22T16:35:36.2734644Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
10,8.7815862,"2026-04-22T16:35:36.2749972Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
11,8.7833223,"2026-04-22T16:35:36.2770583Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
12,8.7849939,"2026-04-22T16:35:36.2786586Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
13,8.7864702,"2026-04-22T16:35:36.2801851Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
14,8.7880871,"2026-04-22T16:35:36.2817332Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
15,8.789383,"2026-04-22T16:35:36.2827564Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
16,8.790763,"2026-04-22T16:35:36.2842906Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
17,8.792178,"2026-04-22T16:35:36.2858307Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
18,8.7939279,"2026-04-22T16:35:36.2873780Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
19,8.7954313,"2026-04-22T16:35:36.2889179Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
20,8.7966868,"2026-04-22T16:35:36.2899446Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
21,8.7979875,"2026-04-22T16:35:36.2914823Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
22,8.7992993,"2026-04-22T16:35:36.2925015Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
23,8.8006397,"2026-04-22T16:35:36.2940711Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
24,8.8023453,"2026-04-22T16:35:36.2961214Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
25,8.8040906,"2026-04-22T16:35:36.2976759Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
26,8.8055135,"2026-04-22T16:35:36.2992235Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
27,8.8071215,"2026-04-22T16:35:36.3007623Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
28,8.8084927,"2026-04-22T16:35:36.3022981Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
29,8.8100016,"2026-04-22T16:35:36.3033195Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
30,8.8114522,"2026-04-22T16:35:36.3048587Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
31,8.8131778,"2026-04-22T16:35:36.3063968Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
32,8.8145292,"2026-04-22T16:35:36.3079379Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
33,8.8158865,"2026-04-22T16:35:36.3095368Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
34,8.8172882,"2026-04-22T16:35:36.3105584Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
35,8.8186659,"2026-04-22T16:35:36.3120985Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
36,8.8199479,"2026-04-22T16:35:36.3131274Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
37,8.8212045,"2026-04-22T16:35:36.3146671Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
38,8.8230435,"2026-04-22T16:35:36.3167250Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
39,8.8245606,"2026-04-22T16:35:36.3182731Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
40,8.8259206,"2026-04-22T16:35:36.3193041Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
41,8.8273602,"2026-04-22T16:35:36.3208427Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
42,8.8289366,"2026-04-22T16:35:36.3223857Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
43,8.8304044,"2026-04-22T16:35:36.3239666Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
44,8.8318517,"2026-04-22T16:35:36.3255090Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
45,8.833589,"2026-04-22T16:35:36.3270547Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
46,8.8348431,"2026-04-22T16:35:36.3280856Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
47,8.8361024,"2026-04-22T16:35:36.3296440Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
48,8.8375639,"2026-04-22T16:35:36.3311806Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
49,8.8388236,"2026-04-22T16:35:36.3322057Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
50,8.840063,"2026-04-22T16:35:36.3337428Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
51,8.8413068,"2026-04-22T16:35:36.3347660Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
52,8.843534,"2026-04-22T16:35:36.3373414Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
53,8.8461526,"2026-04-22T16:35:36.3399477Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
54,8.8545766,"2026-04-22T16:35:36.3481793Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
55,8.8570061,"2026-04-22T16:35:36.3507433Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
56,8.8585332,"2026-04-22T16:35:36.3517689Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
57,8.85984,"2026-04-22T16:35:36.3533091Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
58,8.8611704,"2026-04-22T16:35:36.3543352Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
59,8.8625065,"2026-04-22T16:35:36.3559618Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
60,8.8641198,"2026-04-22T16:35:36.3575088Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
61,8.8653967,"2026-04-22T16:35:36.3590470Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
62,8.8667902,"2026-04-22T16:35:36.3600779Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
63,8.8684054,"2026-04-22T16:35:36.3621199Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
64,8.8698988,"2026-04-22T16:35:36.3631434Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
65,8.8711734,"2026-04-22T16:35:36.3646837Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
66,8.872356,"2026-04-22T16:35:36.3657016Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
67,8.873832,"2026-04-22T16:35:36.3672263Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
68,8.8750767,"2026-04-22T16:35:36.3682585Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
69,8.876309,"2026-04-22T16:35:36.3697873Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
70,8.8778663,"2026-04-22T16:35:36.3713426Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
71,8.8790853,"2026-04-22T16:35:36.3723651Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
72,8.8802866,"2026-04-22T16:35:36.3738949Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
73,8.881398,"2026-04-22T16:35:36.3749119Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
74,8.8825678,"2026-04-22T16:35:36.3759300Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
75,8.8839381,"2026-04-22T16:35:36.3774584Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
76,8.8852923,"2026-04-22T16:35:36.3790084Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
77,8.8866674,"2026-04-22T16:35:36.3800349Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
78,8.8877833,"2026-04-22T16:35:36.3810598Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
79,8.8889569,"2026-04-22T16:35:36.3826003Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
80,8.8902136,"2026-04-22T16:35:36.3836260Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
