sample_index,timestamp_rel_s,timestamp_utc_iso,participant_id,session_id,task_id,trial_id,condition,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_dir_x,combined_dir_y,combined_dir_z,vergence_angle_deg,interocular_distance,left_valid,left_origin_x,left_origin_y,left_origin_z,left_dir_x,left_dir_y,left_dir_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_dir_x,right_dir_y,right_dir_z,left_pupil_diameter,right_pupil_diameter,left_pupil_pos_x,left_pupil_pos_y,right_pupil_pos_x,right_pupil_pos_y,left_eye_openness,right_eye_openness,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,hit_valid,hit_object_name,hit_aoi,hit_aoi_type,hit_x,hit_y,hit_z
1,15.5451364,"2026-04-22T16:41:30.2148679Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,1.36144,-0.7,0,0,0,1,0,,,,,,
2,16.2360245,"2026-04-22T16:41:30.8893602Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
3,16.2538021,"2026-04-22T16:41:30.9072198Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.01122277,1.605799,-0.8274394,0.2320203,-0.06493876,0.003566605,0.9705343,0,,,,,,
4,16.2661881,"2026-04-22T16:41:30.9194686Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.01134842,1.605686,-0.8286259,0.2312966,-0.06537174,0.004245905,0.9706753,0,,,,,,
5,16.2892853,"2026-04-22T16:41:30.9427550Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.01158524,1.604959,-0.8329172,0.2291208,-0.0668121,0.006716906,0.9710792,0,,,,,,
6,16.2973196,"2026-04-22T16:41:30.9503810Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.01157725,1.60465,-0.8339463,0.2286812,-0.06695683,0.007308796,0.9711685,0,,,,,,
7,16.3107392,"2026-04-22T16:41:30.9642649Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.01156393,1.604338,-0.8351949,0.2281015,-0.06735229,0.007990217,0.9712721,0,,,,,,
8,16.3203269,"2026-04-22T16:41:30.9738466Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.01156704,1.603942,-0.8368137,0.2273118,-0.06774263,0.009010336,0.9714212,0,,,,,,
9,16.3325806,"2026-04-22T16:41:30.9860491Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.01161319,1.603684,-0.8375142,0.2274663,-0.0673078,0.00930333,0.9714125,0,,,,,,
10,16.3426971,"2026-04-22T16:41:30.9963410Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.01157876,1.60324,-0.8386582,0.2273319,-0.06631769,0.009297891,0.9715121,0,,,,,,
11,16.3540702,"2026-04-22T16:41:31.0067393Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0116025,1.602492,-0.8404747,0.2271339,-0.06547669,0.01026144,0.9716057,0,,,,,,
12,16.3635629,"2026-04-22T16:41:31.0170413Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0116165,1.602018,-0.8412259,0.2282386,-0.06404264,0.01042181,0.9714407,0,,,,,,
13,16.3759659,"2026-04-22T16:41:31.0291237Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.01147401,1.601331,-0.8420144,0.2295593,-0.06280262,0.0104918,0.9712097,0,,,,,,
